Row Labels,Sum of Latency,Sum of Resolution Change Count,Sum of Resolution Time
Oct,15532.39522,10965,0
18/10,480.4708889,361,0
19/10,1182.476083,903,0
20/10,1243.925833,802,0
21/10,1199.864417,761,0
22/10,1191.695833,816,0
23/10,1138.034167,744,0
24/10,1143.882083,843,0
25/10,1122.8975,812,0
26/10,1155.609417,780,0
27/10,1116.889833,831,0
28/10,1147.716167,842,0
29/10,1137.134583,846,0
30/10,1105.79325,784,0
31/10,1166.005167,840,0
Nov,18785.20628,12597,104.807101
1/11,1136.92875,833,0
2/11,1159.6195,823,0
3/11,1139.80125,838,0
4/11,1162.344917,927,0
5/11,1122.273061,892,0
6/11,1121.59775,751,0
7/11,1139.632917,752,19.86622
8/11,1147.472167,821,0
9/11,1140.304833,703,0
10/11,1167.614886,743,0
11/11,1134.136417,752,0
12/11,1117.799333,711,0
13/11,1111.297667,703,39.90453291
14/11,1087.025833,600,5.019570112
15/11,1092.898333,685,0
16/11,1119.478167,661,40.016778
17/11,684.9805,402,0
Grand Total,34317.6015,23562,104.807101
